lh,rh
lh.12-1,rh.17-2
lh.17-5,rh.13-2
lh.12-1,rh.13-2
lh.17-5,rh.13-2
lh.17-5,rh.16-4
lh.17-5,rh.16-4
lh.13-3,rh.16-4
lh.13-3,rh.16-4
lh.13-3,rh.16-4
lh.13-3,rh.16-4
lh.13-3,rh.16-4
lh.16-3,rh.08-1
lh.08-1,rh.08-1
lh.16-3,rh.08-1
lh.08-1,rh.08-1
lh.16-3,rh.08-1
lh.06-1,rh.07-1
lh.12-2,rh.07-1
lh.06-1,rh.07-1
lh.06-1,rh.03-1
lh.06-1,rh.07-1
lh.06-1,rh.07-1
lh.06-1,rh.07-1
lh.06-1,rh.03-1
lh.03-1,rh.03-1
lh.03-1,rh.03-1
lh.04-1,rh.03-1
lh.04-1,rh.07-1
lh.04-1,rh.03-1
lh.04-1,rh.03-1
lh.04-1,rh.03-1
lh.04-1,rh.03-1
lh.04-1,rh.03-1
lh.04-1,rh.03-1
lh.04-1,rh.08-3
lh.04-1,rh.07-1
lh.04-1,rh.08-3
lh.04-1,rh.08-3
lh.06-1,rh.06-1
lh.05-1,rh.06-1
lh.06-1,rh.06-1
lh.06-1,rh.03-1
lh.06-1,rh.03-1
lh.06-1,rh.06-1
lh.05-1,rh.06-1
lh.06-1,rh.06-1
lh.03-1,rh.03-1
lh.03-1,rh.03-1
lh.03-1,rh.03-1
lh.06-1,rh.03-1
lh.06-1,rh.03-1
lh.06-1,rh.17-5
lh.06-1,rh.06-1
lh.06-1,rh.06-1
lh.12-2,rh.06-1
lh.06-1,rh.06-1
lh.06-1,rh.03-1
lh.06-1,rh.06-1
lh.06-1,rh.07-1
lh.12-2,rh.07-1
lh.03-1,rh.04-1
lh.03-1,rh.04-1
lh.03-1,rh.04-1
lh.03-1,rh.04-1
lh.03-1,rh.04-1
lh.03-1,rh.03-1
lh.03-1,rh.03-1
lh.03-1,rh.03-1
lh.03-1,rh.03-1
lh.03-1,rh.03-1
lh.03-1,rh.03-1
lh.03-1,rh.03-1
lh.03-1,rh.03-1
lh.03-1,rh.03-1
lh.03-1,rh.03-1
lh.03-1,rh.03-1
lh.03-1,rh.06-1
lh.03-1,rh.03-1
lh.06-1,rh.03-1
lh.06-1,rh.06-1
lh.06-1,rh.06-1
lh.06-1,rh.06-1
lh.16-3,rh.08-1
lh.16-3,rh.08-1
lh.16-3,rh.13-2
lh.16-3,rh.13-2
lh.16-3,rh.13-2
lh.17-2,rh.17-5
lh.17-6,rh.13-2
lh.12-4,rh.12-4
lh.12-4,rh.13-2
lh.12-4,rh.13-2
lh.08-6,rh.07-4
lh.13-5,rh.12-1
lh.17-2,rh.12-1
lh.17-2,rh.12-1
lh.17-2,rh.06-3
lh.17-2,rh.06-3
lh.17-2,rh.06-3
lh.07-2,rh.04-1
lh.07-2,rh.04-1
lh.07-2,rh.04-1
lh.07-2,rh.04-1
lh.16-1,rh.07-2
lh.17-6,rh.07-2
lh.16-1,rh.07-2
lh.16-1,rh.07-2
lh.16-1,rh.07-2
lh.16-1,rh.07-2
lh.16-1,rh.07-2
lh.16-1,rh.07-2
lh.17-2,rh.17-5
lh.17-2,rh.17-5
lh.17-2,rh.08-2
lh.08-3,rh.07-2
lh.16-1,rh.07-2
lh.08-3,rh.07-2
lh.08-3,rh.07-2
lh.08-3,rh.07-2
lh.08-3,rh.04-1
lh.08-3,rh.07-2
lh.08-3,rh.07-2
lh.07-2,rh.04-1
lh.07-2,rh.04-1
lh.07-2,rh.04-1
lh.07-2,rh.04-1
lh.17-3,rh.10-1
lh.17-3,rh.10-1
lh.17-3,rh.10-1
lh.08-5,rh.12-6
lh.17-6,rh.12-6
lh.17-6,rh.16-6
lh.10-1,rh.17-5
lh.10-1,rh.17-3
lh.13-1,rh.13-1
lh.13-1,rh.13-1
lh.10-1,rh.13-1
lh.10-1,rh.17-3
lh.10-1,rh.17-3
lh.10-1,rh.08-2
lh.10-1,rh.08-2
lh.10-1,rh.08-2
lh.10-1,rh.08-2
lh.10-1,rh.08-2
lh.16-1,rh.07-2
lh.10-1,rh.08-2
lh.16-1,rh.07-2
lh.10-1,rh.07-2
lh.12-1,rh.13-5
lh.07-1,rh.16-1
lh.12-1,rh.16-1
lh.17-3,rh.16-1
lh.17-3,rh.16-1
lh.17-3,rh.16-1
lh.17-3,rh.16-1
lh.17-3,rh.16-1
lh.12-1,rh.16-1
lh.12-1,rh.16-1
lh.12-1,rh.16-1
lh.17-3,rh.17-5
lh.17-3,rh.16-1
lh.17-3,rh.16-1
lh.17-3,rh.16-1
lh.17-3,rh.16-1
lh.08-2,rh.16-1
lh.17-3,rh.10-1
lh.17-3,rh.10-1
lh.17-3,rh.10-1
lh.17-3,rh.10-1
lh.17-3,rh.10-1
lh.04-1,rh.17-5
lh.04-1,rh.17-5
lh.04-1,rh.17-5
lh.04-1,rh.17-5
lh.04-1,rh.17-5
lh.04-1,rh.17-5
lh.04-1,rh.17-5
lh.04-1,rh.17-5
lh.04-1,rh.17-5
lh.04-1,rh.17-5
lh.04-1,rh.17-5
lh.04-1,rh.17-5
lh.04-1,rh.17-5
lh.07-1,rh.17-5
lh.07-1,rh.17-5
lh.07-1,rh.17-5
lh.07-1,rh.17-5
lh.07-1,rh.17-5
lh.08-2,rh.10-1
lh.07-1,rh.10-1
lh.08-2,rh.10-1
lh.08-2,rh.10-1
lh.08-2,rh.10-1
lh.12-2,rh.11-1
lh.12-2,rh.11-1
lh.12-2,rh.11-1
lh.07-3,rh.16-2
lh.08-4,rh.16-2
lh.07-3,rh.16-2
lh.08-4,rh.16-2
lh.07-3,rh.16-2
lh.07-3,rh.16-2
lh.07-3,rh.16-2
lh.07-3,rh.11-2
lh.04-1,rh.11-2
lh.04-1,rh.11-2
lh.04-1,rh.11-2
lh.04-1,rh.11-2
lh.04-1,rh.11-2
lh.04-1,rh.11-2
lh.04-1,rh.17-5
lh.04-1,rh.17-5
lh.04-1,rh.17-5
lh.04-1,rh.17-5
lh.04-1,rh.17-5
lh.05-1,rh.01-1
lh.01-1,rh.01-1
lh.05-1,rh.01-1
lh.05-1,rh.02-1
lh.05-1,rh.02-1
lh.05-1,rh.02-1
lh.05-1,rh.02-1
lh.06-3,rh.02-1
lh.17-4,rh.11-1
lh.17-4,rh.02-1
lh.17-4,rh.17-5
lh.14-1,rh.02-1
lh.14-1,rh.02-1
lh.14-1,rh.02-1
lh.14-1,rh.02-1
lh.14-1,rh.02-1
lh.14-1,rh.02-1
lh.14-1,rh.02-1
lh.14-1,rh.15-2
lh.14-1,rh.15-2
lh.14-1,rh.15-2
lh.14-1,rh.15-2
lh.14-1,rh.15-2
lh.05-1,rh.05-1
lh.05-1,rh.05-1
lh.05-1,rh.05-1
lh.12-2,rh.05-1
lh.05-1,rh.05-1
lh.05-1,rh.05-1
lh.05-1,rh.12-2
lh.05-1,rh.05-1
lh.13-2,rh.05-1
lh.13-2,rh.05-1
lh.13-2,rh.05-1
lh.15-3,rh.05-1
lh.16-4,rh.05-1
lh.17-6,rh.05-1
lh.05-1,rh.05-1
lh.05-1,rh.05-1
lh.01-1,rh.01-1
lh.05-1,rh.01-1
lh.05-1,rh.02-1
lh.05-1,rh.01-1
lh.05-1,rh.01-1
lh.01-1,rh.01-1
lh.15-2,rh.14-1
lh.02-1,rh.14-1
lh.02-1,rh.16-3
lh.02-1,rh.16-3
lh.02-1,rh.16-3
lh.02-1,rh.17-5
lh.02-1,rh.05-1
lh.02-1,rh.15-3
lh.02-1,rh.16-3
lh.02-1,rh.16-3
lh.02-1,rh.16-3
lh.02-1,rh.15-3
lh.02-1,rh.15-3
lh.02-1,rh.15-3
lh.02-1,rh.05-1
lh.01-1,rh.05-1
lh.01-1,rh.05-1
lh.01-1,rh.05-1
lh.01-1,rh.01-1
lh.01-1,rh.01-1
lh.01-1,rh.01-1
lh.01-1,rh.01-1
lh.01-1,rh.01-1
lh.03-1,rh.04-1
lh.07-2,rh.06-1
lh.07-2,rh.06-1
lh.07-2,rh.06-1
lh.07-2,rh.06-1
lh.07-2,rh.06-1
lh.11-1,rh.07-3
lh.11-1,rh.07-3
lh.11-1,rh.12-2
lh.11-1,rh.12-2
lh.16-2,rh.12-2
lh.16-2,rh.08-4
lh.16-2,rh.08-4
lh.16-2,rh.08-4
lh.16-2,rh.08-4
lh.16-2,rh.08-4
lh.16-2,rh.08-4
lh.16-2,rh.08-4
lh.15-2,rh.17-5
lh.17-6,rh.14-1
lh.15-2,rh.14-1
lh.15-2,rh.14-1
lh.17-6,rh.04-1
lh.17-6,rh.04-1
lh.17-6,rh.04-1
lh.17-6,rh.04-1
lh.17-6,rh.04-1
lh.17-6,rh.04-1
lh.17-6,rh.04-1
lh.17-6,rh.04-1
lh.12-5,rh.03-2
lh.17-6,rh.03-2
lh.11-2,rh.04-1
lh.17-6,rh.04-1
lh.17-6,rh.04-1
lh.17-6,rh.04-1
lh.17-6,rh.04-1
lh.17-6,rh.04-1
lh.17-6,rh.04-1
lh.17-6,rh.04-1
lh.16-2,rh.14-1
lh.11-2,rh.14-1
lh.16-2,rh.14-1
lh.16-2,rh.14-1
lh.16-2,rh.14-1
lh.17-3,rh.10-1
lh.17-3,rh.10-1
lh.17-3,rh.10-1
lh.10-1,rh.17-5
lh.10-1,rh.17-5
lh.17-6,rh.17-5
lh.17-6,rh.17-5
lh.17-6,rh.17-5
lh.17-6,rh.07-2
lh.17-6,rh.07-2
lh.17-6,rh.17-5
lh.17-6,rh.09-1
lh.17-6,rh.09-1
lh.17-6,rh.09-1
lh.17-6,rh.09-1
lh.17-6,rh.09-1
lh.09-1,rh.09-1
lh.17-6,rh.09-1
lh.17-6,rh.09-1
lh.15-1,rh.09-1
lh.15-1,rh.09-1
lh.09-1,rh.09-1
lh.15-1,rh.09-1
lh.14-1,rh.17-5
lh.17-1,rh.17-5
lh.14-1,rh.17-5
lh.17-1,rh.17-5
lh.17-1,rh.17-5
lh.17-1,rh.17-5
lh.17-1,rh.17-5
lh.17-1,rh.17-5
lh.09-1,rh.17-5
lh.14-1,rh.17-5
lh.17-1,rh.17-5
lh.09-1,rh.17-5
lh.17-1,rh.17-5
lh.09-1,rh.15-1
lh.17-1,rh.15-1
lh.09-1,rh.15-1
lh.09-1,rh.15-1
lh.09-1,rh.15-1
lh.09-1,rh.09-1
lh.09-1,rh.09-1
lh.09-1,rh.09-1
lh.09-1,rh.09-1
lh.09-1,rh.09-1
lh.01-1,rh.01-1
lh.01-1,rh.01-1
lh.17-6,rh.01-1
lh.05-1,rh.01-1
lh.05-1,rh.01-1
lh.05-1,rh.01-1
lh.05-1,rh.01-1
lh.05-1,rh.01-1
lh.13-4,rh.02-1
lh.13-4,rh.02-1
lh.13-4,rh.02-1
lh.12-3,rh.01-1
lh.12-3,rh.01-1
lh.12-3,rh.01-1
lh.05-1,rh.01-1
lh.05-1,rh.01-1
lh.05-1,rh.01-1
lh.05-1,rh.01-1
lh.09-1,rh.05-1
lh.09-1,rh.17-5
lh.09-1,rh.05-1
lh.09-1,rh.05-1
lh.09-1,rh.09-1
lh.02-1,rh.14-1
lh.02-1,rh.14-1
lh.02-1,rh.14-1
lh.02-1,rh.06-4
lh.02-1,rh.12-3
lh.02-1,rh.12-3
lh.02-1,rh.13-4
lh.02-1,rh.12-3
lh.01-1,rh.01-1
lh.01-1,rh.05-1
lh.01-1,rh.05-1
lh.01-1,rh.05-1
lh.01-1,rh.05-1
lh.01-1,rh.05-1
lh.02-1,rh.12-3
lh.01-1,rh.17-5
lh.02-1,rh.12-3
lh.01-1,rh.05-1
lh.01-1,rh.05-1
lh.01-1,rh.05-1
lh.05-1,rh.05-1
lh.15-1,rh.05-1
lh.05-1,rh.05-1
lh.17-6,rh.04-1
lh.17-6,rh.04-1
lh.17-6,rh.04-1
lh.17-6,rh.17-5
lh.17-6,rh.04-1
lh.17-6,rh.14-1
lh.17-6,rh.14-1
lh.17-6,rh.14-1
lh.17-6,rh.14-1
lh.17-6,rh.14-1
lh.17-6,rh.14-1
lh.17-6,rh.16-5
lh.17-6,rh.16-5
lh.17-6,rh.16-5
lh.17-6,rh.17-1
lh.17-6,rh.16-5
lh.17-6,rh.17-1
lh.17-6,rh.17-1
lh.15-1,rh.13-4
lh.15-1,rh.17-1
lh.15-1,rh.17-5
lh.15-1,rh.09-1
lh.15-1,rh.09-1
lh.03-1,rh.06-2
lh.06-2,rh.06-2
lh.03-1,rh.06-2
lh.06-2,rh.06-2
lh.06-2,rh.06-2
lh.03-1,rh.03-1
lh.03-1,rh.03-1
lh.03-1,rh.03-1
lh.03-1,rh.06-2
lh.03-1,rh.03-1
lh.03-1,rh.03-1
lh.03-1,rh.03-1
lh.03-1,rh.03-1
lh.03-1,rh.03-1
lh.03-1,rh.03-1
lh.03-1,rh.03-1
lh.03-1,rh.03-1
lh.06-2,rh.06-2
lh.06-2,rh.06-2
lh.03-1,rh.06-2
lh.16-1,rh.12-1
lh.17-2,rh.12-1
lh.17-2,rh.12-1
lh.17-2,rh.12-1
lh.17-2,rh.12-1
lh.08-1,rh.13-1
lh.13-1,rh.17-5
lh.13-1,rh.08-1
lh.16-1,rh.12-1
lh.08-1,rh.08-1
lh.08-1,rh.08-1
lh.08-1,rh.08-1
lh.08-1,rh.17-5
lh.04-1,rh.08-3
lh.04-1,rh.08-3
lh.04-1,rh.08-3
lh.07-1,rh.08-3
lh.07-1,rh.08-3
lh.04-1,rh.07-1
lh.04-1,rh.07-1
lh.04-1,rh.07-1
lh.04-1,rh.07-1
lh.13-2,rh.11-1
lh.17-4,rh.16-2
lh.13-2,rh.16-2
lh.13-2,rh.16-2
lh.13-2,rh.16-2
lh.12-2,rh.06-1
lh.13-2,rh.11-1
lh.13-2,rh.11-1
lh.13-2,rh.11-1
lh.11-1,rh.12-2
lh.05-1,rh.13-3
lh.05-1,rh.12-2
lh.05-1,rh.12-2
lh.05-1,rh.12-2
lh.06-1,rh.06-1
lh.06-1,rh.06-1
lh.05-1,rh.12-2
lh.11-1,rh.12-2
lh.07-2,rh.04-1
lh.07-2,rh.04-1
lh.17-6,rh.04-1
lh.03-1,rh.07-3
lh.07-2,rh.07-3
lh.10-1,rh.07-2
lh.10-1,rh.07-2
lh.10-1,rh.07-2
lh.17-6,rh.07-2
lh.17-6,rh.07-2
lh.07-1,rh.17-5
lh.07-1,rh.17-5
lh.07-1,rh.17-5
lh.08-2,rh.17-5
lh.08-2,rh.17-5
lh.17-1,rh.02-1
lh.17-1,rh.02-1
lh.17-1,rh.02-1
lh.17-1,rh.02-1
lh.17-1,rh.02-1
lh.01-1,rh.01-1
lh.01-1,rh.01-1
lh.01-1,rh.01-1
lh.01-1,rh.01-1
lh.01-1,rh.01-1
lh.15-2,rh.14-1
lh.15-2,rh.14-1
lh.02-1,rh.14-1
lh.02-1,rh.14-1
lh.02-1,rh.14-1
lh.04-1,rh.08-3
lh.06-4,rh.13-5
lh.06-4,rh.13-5
lh.17-6,rh.17-2
lh.12-1,rh.17-2
lh.17-5,rh.13-2
lh.17-5,rh.16-4
lh.17-5,rh.16-4
lh.17-5,rh.16-4
lh.17-5,rh.16-4
lh.13-3,rh.16-4
lh.17-5,rh.16-4
lh.16-3,rh.17-5
lh.16-3,rh.08-1
lh.06-1,rh.03-1
lh.06-1,rh.03-1
lh.06-1,rh.03-1
lh.06-1,rh.03-1
lh.03-1,rh.03-1
lh.04-1,rh.07-1
lh.04-1,rh.07-1
lh.04-1,rh.07-1
lh.04-1,rh.07-1
lh.04-1,rh.07-1
lh.04-1,rh.07-1
lh.04-1,rh.07-1
lh.04-1,rh.08-3
lh.06-1,rh.03-1
lh.06-1,rh.03-1
lh.17-6,rh.03-1
lh.03-1,rh.03-1
lh.03-1,rh.03-1
lh.03-1,rh.03-1
lh.03-1,rh.03-1
lh.03-1,rh.03-1
lh.03-1,rh.03-1
lh.06-1,rh.03-1
lh.06-1,rh.03-1
lh.06-1,rh.03-1
lh.06-1,rh.03-1
lh.03-1,rh.04-1
lh.03-1,rh.04-1
lh.03-1,rh.04-1
lh.03-1,rh.04-1
lh.03-1,rh.04-1
lh.03-1,rh.03-1
lh.03-1,rh.03-1
lh.03-1,rh.03-1
lh.03-1,rh.03-1
lh.03-1,rh.03-1
lh.03-1,rh.03-1
lh.03-1,rh.03-1
lh.17-6,rh.03-1
lh.16-3,rh.13-2
lh.16-3,rh.13-2
lh.16-3,rh.13-2
lh.16-3,rh.13-2
lh.06-2,rh.06-2
lh.06-2,rh.08-5
lh.06-2,rh.07-4
lh.08-6,rh.07-4
lh.08-6,rh.07-4
lh.14-2,rh.04-1
lh.07-2,rh.04-1
lh.07-2,rh.04-1
lh.16-1,rh.08-2
lh.16-1,rh.07-2
lh.16-1,rh.07-2
lh.16-1,rh.08-2
lh.16-1,rh.17-5
lh.17-2,rh.12-1
lh.17-2,rh.12-1
lh.17-2,rh.12-1
lh.13-6,rh.12-1
lh.08-3,rh.07-2
lh.08-3,rh.07-2
lh.08-3,rh.07-2
lh.12-6,rh.06-3
lh.12-6,rh.06-3
lh.17-3,rh.10-1
lh.17-3,rh.10-1
lh.17-3,rh.13-1
lh.13-1,rh.13-1
lh.08-5,rh.13-1
lh.10-1,rh.08-1
lh.10-1,rh.17-3
lh.10-1,rh.17-3
lh.17-6,rh.17-3
lh.17-6,rh.08-2
lh.17-6,rh.08-2
lh.16-1,rh.08-2
lh.16-1,rh.08-2
lh.12-1,rh.17-2
lh.12-1,rh.16-1
lh.12-1,rh.17-2
lh.12-1,rh.16-1
lh.17-3,rh.16-1
lh.12-1,rh.13-1
lh.12-1,rh.10-1
lh.12-1,rh.10-1
lh.13-1,rh.10-1
lh.17-3,rh.10-1
lh.17-3,rh.10-1
lh.17-3,rh.10-1
lh.17-3,rh.10-1
lh.04-1,rh.17-5
lh.04-1,rh.17-5
lh.04-1,rh.17-5
lh.04-1,rh.17-5
lh.04-1,rh.17-5
lh.07-1,rh.17-5
lh.04-1,rh.17-5
lh.07-1,rh.17-5
lh.07-1,rh.17-5
lh.07-1,rh.17-5
lh.07-1,rh.10-1
lh.07-1,rh.10-1
lh.07-1,rh.10-1
lh.07-1,rh.10-1
lh.06-1,rh.07-1
lh.07-3,rh.08-6
lh.07-3,rh.07-1
lh.07-3,rh.17-5
lh.07-3,rh.16-2
lh.17-6,rh.11-2
lh.04-1,rh.11-2
lh.04-1,rh.11-2
lh.04-1,rh.11-2
lh.04-1,rh.17-5
lh.04-1,rh.17-5
lh.04-1,rh.17-5
lh.04-1,rh.17-5
lh.15-3,rh.02-1
lh.05-1,rh.02-1
lh.15-3,rh.02-1
lh.15-3,rh.02-1
lh.17-6,rh.02-1
lh.17-4,rh.11-1
lh.17-4,rh.11-1
lh.17-4,rh.15-2
lh.14-1,rh.15-2
lh.14-1,rh.15-2
lh.14-1,rh.15-2
lh.14-1,rh.15-2
lh.14-1,rh.15-2
lh.14-1,rh.16-2
lh.05-1,rh.05-1
lh.05-1,rh.05-1
lh.05-1,rh.05-1
lh.12-2,rh.05-1
lh.12-2,rh.05-1
lh.16-4,rh.05-1
lh.16-4,rh.05-1
lh.16-4,rh.05-1
lh.16-4,rh.05-1
lh.15-3,rh.01-1
lh.05-1,rh.01-1
lh.15-3,rh.02-1
lh.15-3,rh.02-1
lh.11-1,rh.16-3
lh.02-1,rh.16-3
lh.02-1,rh.16-3
lh.02-1,rh.16-3
lh.02-1,rh.16-3
lh.02-1,rh.16-3
lh.02-1,rh.16-3
lh.02-1,rh.15-3
lh.02-1,rh.15-3
lh.01-1,rh.05-1
lh.01-1,rh.05-1
lh.01-1,rh.05-1
lh.01-1,rh.01-1
lh.01-1,rh.01-1
lh.07-2,rh.06-1
lh.07-2,rh.06-1
lh.07-2,rh.06-1
lh.07-2,rh.06-1
lh.07-2,rh.06-1
lh.16-2,rh.17-5
lh.16-2,rh.12-2
lh.16-2,rh.13-3
lh.16-2,rh.13-3
lh.16-2,rh.08-4
lh.16-2,rh.08-4
lh.16-2,rh.13-3
lh.11-1,rh.17-5
lh.17-6,rh.04-1
lh.17-6,rh.04-1
lh.17-6,rh.04-1
lh.17-6,rh.04-1
lh.17-6,rh.04-1
lh.11-2,rh.07-3
lh.11-2,rh.04-1
lh.11-2,rh.07-3
lh.11-2,rh.04-1
lh.17-6,rh.04-1
lh.17-6,rh.04-1
lh.11-2,rh.04-1
lh.11-2,rh.07-3
lh.16-2,rh.07-3
lh.10-1,rh.10-1
lh.10-1,rh.10-1
lh.10-1,rh.10-1
lh.10-1,rh.17-5
lh.10-1,rh.17-5
lh.17-6,rh.09-1
lh.17-6,rh.09-1
lh.17-6,rh.09-1
lh.17-6,rh.09-1
lh.17-6,rh.09-1
lh.17-6,rh.09-1
lh.17-6,rh.09-1
lh.17-6,rh.09-1
lh.17-6,rh.09-1
lh.04-1,rh.17-5
lh.14-1,rh.17-5
lh.14-1,rh.17-5
lh.14-1,rh.17-5
lh.17-1,rh.17-5
lh.09-1,rh.17-5
lh.09-1,rh.17-5
lh.09-1,rh.17-5
lh.09-1,rh.17-5
lh.09-1,rh.15-1
lh.09-1,rh.09-1
lh.09-1,rh.09-1
lh.09-1,rh.09-1
lh.09-1,rh.09-1
lh.05-1,rh.01-1
lh.05-1,rh.01-1
lh.05-1,rh.01-1
lh.17-6,rh.01-1
lh.17-6,rh.01-1
lh.17-6,rh.02-1
lh.13-4,rh.02-1
lh.13-4,rh.02-1
lh.13-4,rh.01-1
lh.12-3,rh.01-1
lh.09-1,rh.01-1
lh.09-1,rh.01-1
lh.09-1,rh.05-1
lh.09-1,rh.15-1
lh.02-1,rh.06-4
lh.02-1,rh.17-5
lh.02-1,rh.06-4
lh.02-1,rh.06-4
lh.02-1,rh.06-4
lh.01-1,rh.01-1
lh.01-1,rh.05-1
lh.01-1,rh.05-1
lh.01-1,rh.05-1
lh.01-1,rh.05-1
lh.01-1,rh.05-1
lh.01-1,rh.05-1
lh.01-1,rh.05-1
lh.01-1,rh.01-1
lh.17-6,rh.04-1
lh.17-6,rh.04-1
lh.17-6,rh.04-1
lh.17-6,rh.04-1
lh.17-6,rh.14-1
lh.02-1,rh.17-1
lh.17-6,rh.17-1
lh.02-1,rh.17-1
lh.15-1,rh.16-5
lh.15-1,rh.16-5
lh.15-1,rh.16-5
lh.15-1,rh.16-5
lh.15-1,rh.13-4
lh.15-1,rh.13-4
lh.04-1,rh.08-3
lh.04-1,rh.17-2
lh.04-1,rh.08-3
lh.17-6,rh.13-2
lh.17-6,rh.13-2
lh.06-2,rh.06-2
lh.06-2,rh.12-4
lh.12-4,rh.12-4
lh.12-4,rh.13-2
lh.17-6,rh.13-2
lh.12-4,rh.13-2
lh.03-1,rh.03-1
lh.03-1,rh.03-1
lh.03-1,rh.03-1
lh.03-1,rh.03-1
lh.04-1,rh.03-1
lh.03-1,rh.03-1
lh.17-6,rh.03-1
lh.04-1,rh.07-1
lh.04-1,rh.07-1
lh.04-1,rh.08-3
lh.03-1,rh.03-1
lh.03-1,rh.03-1
lh.03-1,rh.03-1
lh.03-1,rh.03-1
lh.03-1,rh.03-1
lh.03-1,rh.03-1
lh.03-1,rh.03-1
lh.03-1,rh.03-1
lh.03-1,rh.03-1
lh.03-1,rh.03-1
lh.03-1,rh.03-1
lh.03-1,rh.03-1
lh.03-1,rh.03-1
lh.03-1,rh.03-1
lh.03-1,rh.03-1
lh.03-1,rh.03-1
lh.03-1,rh.03-1
lh.03-1,rh.03-1
lh.03-1,rh.03-1
lh.03-1,rh.03-1
lh.12-4,rh.13-2
lh.12-4,rh.13-2
lh.06-2,rh.12-4
lh.06-2,rh.05-2
lh.06-2,rh.06-2
lh.06-2,rh.05-2
lh.06-2,rh.05-2
lh.06-2,rh.06-2
lh.03-1,rh.07-4
lh.16-1,rh.17-4
lh.16-1,rh.17-4
lh.16-1,rh.17-4
lh.17-2,rh.17-5
lh.17-2,rh.12-1
lh.17-2,rh.12-1
lh.17-2,rh.12-1
lh.17-2,rh.12-1
lh.17-2,rh.12-1
lh.17-2,rh.12-1
lh.17-2,rh.12-1
lh.13-1,rh.13-1
lh.13-1,rh.13-1
lh.13-1,rh.13-1
lh.13-1,rh.13-1
lh.13-1,rh.13-1
lh.17-6,rh.17-5
lh.16-1,rh.08-1
lh.10-1,rh.08-1
lh.17-6,rh.08-1
lh.16-1,rh.08-1
lh.12-1,rh.17-2
lh.12-1,rh.17-2
lh.12-1,rh.17-2
lh.12-1,rh.16-1
lh.12-1,rh.17-5
lh.08-1,rh.17-5
lh.08-1,rh.13-1
lh.12-1,rh.13-1
lh.12-1,rh.13-1
lh.13-1,rh.13-1
lh.04-1,rh.17-5
lh.04-1,rh.17-5
lh.04-1,rh.17-5
lh.04-1,rh.17-5
lh.04-1,rh.17-5
lh.04-1,rh.16-1
lh.04-1,rh.17-5
lh.07-1,rh.17-5
lh.07-1,rh.17-5
lh.07-1,rh.16-1
lh.08-2,rh.16-1
lh.07-3,rh.03-1
lh.07-3,rh.07-1
lh.07-3,rh.03-1
lh.07-3,rh.07-1
lh.04-1,rh.07-1
lh.04-1,rh.07-1
lh.04-1,rh.07-1
lh.04-1,rh.12-5
lh.17-6,rh.12-5
lh.04-1,rh.17-5
lh.16-4,rh.02-1
lh.16-4,rh.02-1
lh.16-4,rh.02-1
lh.17-4,rh.11-1
lh.17-4,rh.11-1
lh.17-4,rh.16-2
lh.17-4,rh.16-2
lh.17-4,rh.16-2
lh.17-4,rh.16-2
lh.17-4,rh.16-2
lh.14-1,rh.16-2
lh.12-2,rh.05-1
lh.12-2,rh.05-1
lh.12-2,rh.05-1
lh.13-2,rh.05-1
lh.13-2,rh.05-1
lh.13-2,rh.11-1
lh.13-2,rh.11-1
lh.13-2,rh.11-1
lh.16-4,rh.11-1
lh.16-4,rh.02-1
lh.11-1,rh.13-3
lh.11-1,rh.13-3
lh.11-1,rh.13-3
lh.02-1,rh.13-3
lh.02-1,rh.13-3
lh.05-1,rh.13-3
lh.05-1,rh.13-3
lh.01-1,rh.13-3
lh.17-6,rh.13-3
lh.01-1,rh.13-3
lh.05-1,rh.12-2
lh.07-2,rh.06-1
lh.07-2,rh.06-1
lh.07-2,rh.06-1
lh.11-1,rh.12-2
lh.11-1,rh.12-2
lh.11-1,rh.12-2
lh.11-1,rh.12-2
lh.11-1,rh.12-2
lh.16-2,rh.13-3
lh.11-1,rh.13-3
lh.08-3,rh.04-1
lh.12-5,rh.04-1
lh.12-5,rh.04-1
lh.12-5,rh.04-1
lh.17-6,rh.04-1
lh.07-2,rh.04-1
lh.16-2,rh.07-3
lh.11-2,rh.07-3
lh.11-2,rh.07-3
lh.11-2,rh.07-3
lh.16-2,rh.07-3
lh.10-1,rh.08-2
lh.10-1,rh.08-2
lh.10-1,rh.08-2
lh.10-1,rh.07-2
lh.17-6,rh.07-2
lh.17-6,rh.07-2
lh.17-6,rh.07-2
lh.17-6,rh.07-2
lh.17-6,rh.09-1
lh.17-6,rh.14-1
lh.17-6,rh.14-1
lh.07-1,rh.17-5
lh.04-1,rh.17-5
lh.07-1,rh.17-5
lh.09-1,rh.17-5
lh.09-1,rh.17-5
lh.07-1,rh.17-5
lh.09-1,rh.17-5
lh.09-1,rh.17-5
lh.09-1,rh.17-5
lh.09-1,rh.17-5
lh.09-1,rh.17-5
lh.17-1,rh.02-1
lh.13-4,rh.02-1
lh.17-1,rh.02-1
lh.17-1,rh.02-1
lh.17-6,rh.02-1
lh.17-1,rh.02-1
lh.17-1,rh.02-1
lh.17-1,rh.02-1
lh.17-1,rh.02-1
lh.17-1,rh.02-1
lh.17-1,rh.02-1
lh.01-1,rh.01-1
lh.01-1,rh.01-1
lh.01-1,rh.01-1
lh.01-1,rh.01-1
lh.01-1,rh.01-1
lh.01-1,rh.01-1
lh.01-1,rh.01-1
lh.01-1,rh.01-1
